component_id,stable_key,semantic_name,semantic_side,region,material_family,deformation_type,risk_level,action,confidence_percent,classification_status,target_parent,evidence,notes,geometric_side_provisional,vertex_count,face_count,dominant_groups,technical_flags
66,C066-V100027,"Faixa de pelo sob o punho direito, na transição entre antebraço e mão",RIGHT,HAND_RIGHT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,97,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,48,59,forearm.R:48.000000,VERY_SMALL_COMPONENT
67,C067-V100510,Camada triangular de pelo do braço superior direito,RIGHT,ARM_FUR_RIGHT,Pelo geométrico,HYBRID,HIGH,REBUILD,90,FINAL,ARM_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,137,218,upper_arm.R:132.226597|clavicle.R:3.781567|chest:0.714883|spine_02:0.276953,
68,C068-V102202,"Painel frontal superior esquerdo do moletom, ligando peito e ombro",LEFT,HOODIE_TORSO,Tecido,HYBRID,HIGH,RETOPOLOGY,94,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,1047,1908,upper_arm.L:437.007934|chest:397.639970|spine_02:154.626173|clavicle.L:57.725922,
69,C069-V103352,Camada dorsal de pele e pelo da base do polegar direito,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,98,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,65,95,thumb_01.R:65.000000,VERY_SMALL_COMPONENT
70,C070-V105074,Camada palmar de pele e pelo da base do polegar direito,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,98,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,52,82,thumb_01.R:52.000000,VERY_SMALL_COMPONENT
71,C071-V107569,Triângulo residual solto no braço esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,upper_arm.L:3.000000,VERY_SMALL_COMPONENT
72,C072-V107930,Triângulo residual solto no pé esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,foot.L:3.000000,VERY_SMALL_COMPONENT
73,C073-V107938,Sola e base inferior do calçado esquerdo,LEFT,SHOE_LEFT,Borracha rígida,RIGID,LOW,RIGID,97,FINAL,SHOE_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Preservar comportamento rígido e vincular ao osso ou controle correto.,LEFT,1473,2813,foot.L:1167.932000|toe.L:302.235999|shin.L:2.832000,
74,C074-V108810,Microcamada lateral de pele e pelo da articulação inicial do polegar direito,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,94,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha v31, diagnóstico em raio-X v32 e grupos dominantes.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,24,30,thumb_01.R:24.000000,VERY_SMALL_COMPONENT
75,C075-V111177,Painel frontal esquerdo do peito e abdômen superior do moletom,LEFT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,96,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,LEFT,1921,3646,chest:1504.970696|spine_02:416.026242|upper_arm.L:0.003064,
76,C076-V112702,Faixa frontal direita da cintura e transição entre moletom e calça,RIGHT,PANTS,Tecido,HYBRID,HIGH,RETOPOLOGY,91,FINAL,PANTS,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Separar claramente barra do moletom, cintura da calça, pelve e coxa.",RIGHT,1328,2457,spine_02:698.182968|spine_01:522.095936|thigh.R:107.721125,
77,C077-V113130,"Painel frontal superior direito do moletom, peito, ombro e axila",RIGHT,HOODIE_TORSO,Tecido,HYBRID,HIGH,RETOPOLOGY,98,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,3144,6041,chest:2398.313161|spine_02:524.086866|upper_arm.R:182.940992|clavicle.R:38.658981,
78,C078-V114374,Camada externa dos dedos e dorso da mão direita,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,93,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,1324,2512,hand.R:391.141805|index_03.R:362.137554|middle_03.R:354.466288|pinky_03.R:160.266980|ring_03.R:54.649715|thumb_02.R:1.337655,
79,C079-V118856,Camada externa dos dedos e dorso da mão esquerda,LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,REBUILD,93,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,1056,1957,middle_03.L:367.567899|index_03.L:284.973396|hand.L:270.770234|pinky_03.L:79.107474|ring_03.L:52.148503|index_02.L:1.432493,
80,C080-V119076,"Painel frontal central da barra inferior do moletom, sobre a virilha",CENTER,HOODIE_TORSO,Tecido,HYBRID,HIGH,RETOPOLOGY,88,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,1306,2396,spine_01:845.881981|spine_02:224.720625|thigh.L:128.450570|pelvis:106.946838,CROSSES_CENTER_PLANE
81,C081-V119281,Camada externa do polegar esquerdo e transição para o punho,LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,REBUILD,91,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,210,362,thumb_01.L:157.653551|forearm.L:52.346449,
82,C082-V123750,"Camada externa de pelo da mão e punho direito, incorretamente pesada na coxa",RIGHT,HAND_RIGHT,Pelo geométrico,HYBRID,CRITICAL,REBUILD,94,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Descartar os pesos atuais presos à coxa direita e integrar à mão direita.,RIGHT,763,1416,thigh.R:763.000000,
83,C083-V123842,Fragmento residual do polegar esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,97,FINAL,NONE,Resíduo confirmado visualmente; 11 vértices e 11 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,11,11,thumb_01.L:11.000000,VERY_SMALL_COMPONENT
84,C084-V126227,Fragmento poligonal residual do polegar esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,98,FINAL,NONE,Resíduo confirmado visualmente; 5 vértices e 3 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,5,3,thumb_01.L:5.000000,VERY_SMALL_COMPONENT
85,C085-V127561,"Camada de pelo da gola, clavícula e lateral direita do pescoço",RIGHT,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,94,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,522,925,clavicle.R:230.814835|neck:149.631319|head:141.553845,
86,C086-V127699,"Casco principal frontal da face, focinho e mandíbula",CENTER,FACE,Pele e pelo,FACIAL,CRITICAL,RETOPOLOGY,99,FINAL,FACE_HEAD,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.","Criar topologia facial para boca, lábios, focinho, mandíbula e shape keys.",CENTER,3697,7086,head:3583.148513|neck:113.851512,CROSSES_CENTER_PLANE
87,C087-V128662,Camada externa da mão esquerda e dos dedos,LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,REBUILD,96,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,1137,2077,hand.L:179.312240|index_01.L:178.850556|forearm.L:150.063545|middle_03.L:132.119524|index_03.L:120.463059|ring_03.L:91.866294|ring_02.L:79.322184|pinky_03.L:71.251671,
88,C088-V128680,Triângulo residual do polegar esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,thumb_01.L:3.000000,VERY_SMALL_COMPONENT
89,C089-V131306,Pele da base entre polegar e indicador direitos,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,RETOPOLOGY,96,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,RIGHT,160,275,index_01.R:64.390506|thumb_01.R:62.834753|thumb_02.R:32.774744,
90,C090-V133696,Triângulo residual entre os dedos médio e indicador esquerdos,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,middle_03.L:2.204409|index_03.L:0.795591,VERY_SMALL_COMPONENT
91,C091-V133740,"Grande camada externa da mão direita, envolvendo palma, dedos e polegar",RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,98,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,1247,2319,thumb_02.R:327.240394|index_03.R:264.577715|pinky_03.R:158.674653|ring_02.R:137.589005|ring_03.R:135.893428|hand.R:97.747556|middle_03.R:86.671561|ring_01.R:23.444375,
92,C092-V140831,Triângulo residual solto no antebraço direito,RIGHT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,RIGHT,3,1,forearm.R:3.000000,VERY_SMALL_COMPONENT
93,C093-V141561,Faixa vertical de pelo da lateral esquerda do pescoço e mandíbula,LEFT,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,91,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,573,1034,neck:325.413070|head:247.586909,
94,C094-V145565,Faixa vertical de pelo da lateral direita do pescoço e mandíbula,RIGHT,HEAD_NECK_FUR,Pelo geométrico,HYBRID,HIGH,REBUILD,92,FINAL,HEAD_NECK_FUR,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,490,892,neck:439.255671|head:50.744317,
95,C095-V146776,Camada externa distal do polegar esquerdo,LEFT,HAND_LEFT,"Pele, pelo ou unha",HYBRID,CRITICAL,REBUILD,82,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,101,173,thumb_02.L:70.022331|thumb_01.L:30.977670,
96,C096-V148739,Camada externa proximal e base do polegar esquerdo,LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,REBUILD,86,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,153,264,thumb_02.L:99.660033|thumb_01.L:53.339970,
97,C097-V148799,Fragmento de pele entre polegar e indicador direitos,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,88,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,27,30,thumb_01.R:13.671040|index_01.R:11.951177|thumb_02.R:1.377783,VERY_SMALL_COMPONENT
98,C098-V148800,Segunda camada da base entre polegar e indicador direitos,RIGHT,HAND_RIGHT,Pele e pelo,HYBRID,CRITICAL,REBUILD,90,FINAL,HAND_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,RIGHT,55,90,index_01.R:38.653172|thumb_01.R:16.346829,VERY_SMALL_COMPONENT
99,C099-V148810,Triângulo residual solto no indicador esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,index_01.L:3.000000,VERY_SMALL_COMPONENT
100,C100-V150928,Pequena placa de unha ou garra do indicador esquerdo,LEFT,HAND_LEFT,Unha e queratina,RIGID,CRITICAL,REBUILD,74,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,9,8,index_01.L:9.000000,VERY_SMALL_COMPONENT
101,C101-V151564,Fragmento plano residual na região da cabeça,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,97,FINAL,NONE,Resíduo confirmado visualmente; 4 vértices e 2 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,4,2,head:4.000000,VERY_SMALL_COMPONENT
102,C102-V161362,Triângulo residual solto no antebraço esquerdo,LEFT,RESIDUAL,Resíduo geométrico,NONE,LOW,DELETE,99,FINAL,NONE,Resíduo confirmado visualmente; 3 vértices e 1 faces.,Remover somente em uma nova cópia de trabalho; preservar o v13 intacto.,LEFT,3,1,forearm.L:3.000000,VERY_SMALL_COMPONENT
103,C103-V167183,Camada externa da base e lateral do polegar esquerdo,LEFT,HAND_LEFT,Pele e pelo,HYBRID,CRITICAL,REBUILD,96,FINAL,HAND_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como parte integrada do conjunto-alvo; não manter a casca fragmentada.,LEFT,228,393,thumb_02.L:141.373568|thumb_01.L:83.023598|forearm.L:2.870999|index_02.L:0.731836,
104,C104-V174307,"Painel central frontal esquerdo do moletom, peito e abdômen",CENTER/LEFT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,94,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,2939,5604,spine_02:1743.203137|chest:1195.796861,CROSSES_CENTER_PLANE
105,C105-V177904,"Painel central frontal direito do moletom, peito e abdômen",CENTER/RIGHT,HOODIE_TORSO,Tecido,SOFT,HIGH,RETOPOLOGY,93,FINAL,HOODIE_TORSO,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Usar a forma atual como referência e reconstruir fluxo de loops e pesos.,CENTER,1735,3277,spine_02:1365.923956|chest:369.076069,CROSSES_CENTER_PLANE
106,C106-V190469,Segmento inferior do cordão direito do capuz,RIGHT,HOOD_ACCESSORY_RIGHT,Cordão têxtil,SECONDARY,MEDIUM,REBUILD,82,FINAL,HOOD_CORD_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como acessório leve com movimento secundário controlado.,RIGHT,69,111,chest:49.680002|spine_02:19.320000,VERY_SMALL_COMPONENT
107,C107-V190484,Segmento inferior do cordão esquerdo do capuz,LEFT,HOOD_ACCESSORY_LEFT,Cordão têxtil,SECONDARY,MEDIUM,REBUILD,84,FINAL,HOOD_CORD_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como acessório leve com movimento secundário controlado.,LEFT,84,140,chest:60.480002|spine_02:23.520000,VERY_SMALL_COMPONENT
108,C108-V192344,Ponteira do cordão direito do capuz,RIGHT,HOOD_ACCESSORY_RIGHT,Acessório têxtil,SECONDARY,MEDIUM,REBUILD,91,FINAL,HOOD_CORD_RIGHT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como ponteira leve com movimento secundário controlado.,RIGHT,63,97,chest:45.360002|spine_02:17.640000,VERY_SMALL_COMPONENT
109,C109-V192356,Ponteira do cordão esquerdo do capuz,LEFT,HOOD_ACCESSORY_LEFT,Acessório têxtil,SECONDARY,MEDIUM,REBUILD,92,FINAL,HOOD_CORD_LEFT,"Atlas contextual v30, prancha de revisão v31 e grupos dominantes do manifesto técnico.",Reconstruir como ponteira leve com movimento secundário controlado.,LEFT,78,125,chest:56.160002|spine_02:21.840000,VERY_SMALL_COMPONENT
